District,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
Taplejung,3492,3832,2879,2879,2879,2285,2300,3921,2783,3600,2016,2271
Sankhuwasabha,2165,2457,2500,2850,2925,2288,2450,2800,2850,3000,1915,1610
Solukhumbu,3750,4325,5217,5217,5217,3574,3640,7125,7308,7300,2550,3550
Panchthar,5900,7380,7000,7410,7410,6300,6300,7400,7580,7632,6732,6494
Ilam,8050,8945,8500,9020,10627,8250,9050,13365,13398,12960,12350,15338
Terhathum,4380,4535,4200,3960,4320,3272,3272,4505,5445,5900,5675,5500
Dhankuta,6318,6546,5525,5304,5304,4208,4901,3296,2975,3385,3200,2900
Bhojpur,6170,6234,4550,4120,5020,3867,3867,4160,4903,5520,6024,4800
Khotang,5550,6592,6260,6290,6290,5147,5147,11200,9575,12535,12060,11460
Okhaldhunga,3750,3582,4004,4140,4140,3519,3519,5648,4825,5031,4757,4494
Udayapur,8185,9173,9100,10258,11640,9694,10950,11000,14322,16286,15826,12456
Jhapa,32280,44950,39250,44200,43500,36500,34000,24150,25150,21750,22540,24150
Morang,36716,38710,37745,42550,49656,44690,50500,52500,40438,36438,39900,42000
Sunsari,42750,38920,37304,42500,40800,36720,44400,46250,45500,43500,45110,47600
Saptari,36500,35500,25500,35650,35650,32085,35080,48000,45600,40000,44000,40000
Siraha,37637,37887,33180,34760,34760,31284,33280,31350,29877,29800,32350,37500
Dolakha,8288,7825,7825,7500,7500,5105,5105,5105,4837,6278,6280,7050
Sindhupalchok,12177,19060,19060,18500,18500,12100,12100,6650,7010,9336,7862,7819
Rasuwa,1615,1641,1641,1500,1500,1393,1393,1258,1645,1720,1856,1507
Ramechhap,6650,9515,10555,9080,9080,7060,7060,9013,8292,8180,8716,9120
Sindhuli,11250,11050,13671,10930,10930,8930,8930,13730,13700,14230,14100,15310
Kavrepalanchok,30000,26000,26000,22050,22050,18286,18286,21001,21478,20905,18900,23738
Bhaktapur,11341,11341,10500,11178,11178,9884,9884,2884,11060,11559,10800,11200
Lalitpur,10650,11098,10050,9094,9094,7820,7820,12617,14690,12340,10900,9490
Kathmandu,12140,14640,14100,16220,17700,14284,14284,14284,15903,16138,13138,14500
Nuwakot,12568,16120,15100,12597,12597,11447,11447,15062,15102,15062,17500,14504
Dhading,8575,9636,9600,9600,9472,7914,7914,7914,9600,12101,10100,10298
Makwanpur,10400,11147,10850,10662,11978,8826,8384,11796,12007,12150,12007,12645
Dhanusha,56100,57600,52400,60889,64500,57405,62400,96119,90357,108000,105000,114994
Mahottari,32400,32500,30500,37867,46494,41380,45250,45250,64820,63312,62312,76500
Sarlahi,55550,55000,53900,62735,62735,55834,56000,56000,67200,65750,63750,65250
Rautahat,26372,22669,22669,32430,38310,34093,37020,37020,41626,48050,48000,50375
Bara,74525,79750,81068,89440,92985,88900,95900,96900,92800,94600,93600,90163
Parsa,59625,63700,60536,69600,72775,69770,75700,75700,82600,81600,80680,79100
Chitwan,25586,22000,22426,22520,23600,21004,23200,26533,27125,30125,29899,30500
Manang,450,450,580,625,640,454,627,644,645,568,615,625
Mustang,1050,1100,1100,1301,1600,1024,1080,1081,1080,1080,1110,1048
Gorkha,8541,9470,9470,8725,7479,6157,7230,7240,7592,7234,7334,7850
Lamjung,8500,8451,7819,7740,7740,6289,6889,6500,1375,1275,1375,1450
Tanahu,5520,4870,3850,3990,3990,3200,3429,3435,3626,3662,3705,3760
Kaski,15150,18313,19298,18092,15760,13396,15200,14200,14545,16100,15503,17500
Parbat,5100,5100,5100,4580,4580,3693,6734,6773,6665,6522,6044,6238
Syangja,18375,18375,18232,17850,15200,11920,12860,13200,12150,11150,10150,12174
Palpa,12803,12803,11830,12150,12150,9903,13405,13425,13422,13737,13853,14040
Myagdi,5160,5427,6035,5795,5940,4875,5767,5845,5757,6096,6422,6736
Baglung,13215,13215,13000,12870,10788,9165,12267,13267,13102,13298,16546,16975
Gulmi,12000,11042,9800,11740,14550,8303,15791,15796,14978,16048,14866,16500
Arghakhanchi,11970,11970,11500,13946,13420,8630,13500,13478,12478,13698,12952,16000
Nawalparasi,43113,43113,40100,45600,46500,44200,46360,46140,54140,50269,48808,53500
Rupandehi,76250,76250,72400,85250,98150,94150,105000,105900,106750,97840,106750,96000
Kapilvastu,57420,56000,52640,65550,68400,63612,96000,96986,89815,81248,89900,101000
Dolpa,428,400,300,2250,2750,1088,3025,5700,605,6300,5420,4470
Mugu,3618,3510,2810,2607,2600,1690,2433,7785,2556,7917,8237,4200
Humla,998,998,990,975,970,431,890,820,875,1173,953,1021
Jumla,2800,2800,2000,2918,3126,1532,3500,2530,3600,5390,4611,4930
Kalikot,7300,7300,6150,6100,7750,3928,5350,9015,5748,9545,9611,6474
Rukum,18215,18000,16050,14050,16520,10894,13600,27140,26190,26550,27550,28000
